RSSI;ID;COUNT;TIMER;Vbat;Text;Tint;Ax;Ay;Az;Atot;Atot_mps;Gx;Gy;Gz;Mx;My;Mz;Mtot;Roll;Pitch;Heading;Pressure;Height;Vertical_velocity;Vertical_accelration;Vertical_acc_g;Non_grav_force
-63;TRIDENT;1024;470.37;4.06;35.65;38.04;0.09;1;0.17;1.02;10.0062;2.89;19.33;1.15;-155.04;60.28;-328.67;368.36;89.79;0.43;86.27;101.07;0;;;;
-62;TRIDENT;1025;470.83;4.06;35.65;38.04;0.08;1;0.16;1.01;9.9081;-0.35;14.69;-1.53;-155.19;59.53;-328.22;367.9;89.8;0.65;86.1;101.07;0;0;0;0;9.81
-62;TRIDENT;1026;471.29;4.06;35.65;38.05;0.09;1;0.17;1.02;10.0062;-2.14;11.8;-3.73;-154.89;60.43;-327.32;367.12;90.05;0.7;86.2;101.07;0;0;0;0;9.81
-62;TRIDENT;1027;471.75;4.06;35.65;38.05;0.08;1;0.18;1.01;9.9081;3.79;-4.82;-5.05;-155.04;60.28;-328.07;367.83;90.2;0.74;86.5;101.07;0;0;0;0;9.81
-65;TRIDENT;1028;472.21;4.06;35.68;38.06;0.09;1;0.17;1.01;9.9081;5.66;-7.92;-2.49;-154.89;59.53;-328.52;368.04;90.11;0.75;86.52;101.07;0;0;0;0;9.81
-62;TRIDENT;1029;472.66;4.06;35.65;38.06;0.08;1;0.17;1.01;9.9081;0.64;-12.84;-0.87;-153.84;61.47;-326.87;366.45;90.21;0.56;86.65;101.07;0;0;0;0;9.81
-63;TRIDENT;1030;473.12;4.06;35.65;38.07;0.09;1;0.17;1.02;10.0062;-0.35;5.62;-6.49;-156.39;60.13;-329.12;369.31;90.21;0.09;86.19;101.07;0;0;0;0;9.81
-64;TRIDENT;1031;473.58;4.06;35.68;38.06;0.08;1;0.16;1.01;9.9081;3.33;6.08;4.09;-154.44;59.98;-327.77;367.26;90.11;0.18;87.13;101.07;0;0;0;0;9.81
-62;TRIDENT;1032;474.04;4.06;35.65;38.06;0.09;1;0.17;1.01;9.9081;-3.48;9.37;0.47;-155.49;61.33;-328.52;368.59;90.28;-0.03;87.04;101.07;0;0;0;0;9.81
-62;TRIDENT;1033;474.5;4.06;35.68;38.07;0.08;1;0.17;1.01;9.9081;1.08;-11.85;-6.78;-154.14;60.88;-326.27;365.94;89.96;0.11;87.07;101.07;0;0;0;0;9.81
